uid,platform_number,cycle_number,latitude,longitude,pressure,temperature,salinity,juld
1,3901831,224,-50.18681,61.64761,0.9599999785423279,4.2829999923706055,33.77000045776367,19723.959328703702
2,3901831,224,-50.18681,61.64761,1.9199999570846558,4.2820000648498535,33.77000045776367,19723.959328703702
3,3901831,224,-50.18681,61.64761,3.0399999618530273,4.283999919891357,33.76900100708008,19723.959328703702
4,3901831,224,-50.18681,61.64761,4.039999961853027,4.284999847412109,33.77000045776367,19723.959328703702
5,3901831,224,-50.18681,61.64761,5.0,4.285999774932861,33.77000045776367,19723.959328703702
6,3901831,224,-50.18681,61.64761,6.0,4.2870001792907715,33.77000045776367,19723.959328703702
7,3901831,224,-50.18681,61.64761,6.960000038146973,4.2870001792907715,33.77000045776367,19723.959328703702
8,3901831,224,-50.18681,61.64761,8.0,4.2870001792907715,33.77000045776367,19723.959328703702
9,3901831,224,-50.18681,61.64761,9.0,4.2870001792907715,33.76900100708008,19723.959328703702
10,3901831,224,-50.18681,61.64761,10.199999809265137,4.2870001792907715,33.77000045776367,19723.959328703702
11,3901831,224,-50.18681,61.64761,12.0,4.285999774932861,33.77000045776367,19723.959328703702
12,3901831,224,-50.18681,61.64761,14.039999961853027,4.283999919891357,33.77000045776367,19723.959328703702
13,3901831,224,-50.18681,61.64761,15.920000076293945,4.284999847412109,33.77000045776367,19723.959328703702
14,3901831,224,-50.18681,61.64761,17.959999084472656,4.285999774932861,33.77000045776367,19723.959328703702
15,3901831,224,-50.18681,61.64761,19.959999084472656,4.288000106811523,33.77000045776367,19723.959328703702
16,3901831,224,-50.18681,61.64761,22.0,4.289999961853027,33.76900100708008,19723.959328703702
17,3901831,224,-50.18681,61.64761,23.959999084472656,4.291999816894531,33.76900100708008,19723.959328703702
18,3901831,224,-50.18681,61.64761,26.0,4.288000106811523,33.76900100708008,19723.959328703702
19,3901831,224,-50.18681,61.64761,27.959999084472656,4.28000020980835,33.76900100708008,19723.959328703702
20,3901831,224,-50.18681,61.64761,29.959999084472656,4.270999908447266,33.77000045776367,19723.959328703702
21,3901831,224,-50.18681,61.64761,31.959999084472656,4.258999824523926,33.77000045776367,19723.959328703702
22,3901831,224,-50.18681,61.64761,33.959999084472656,4.250999927520752,33.77000045776367,19723.959328703702
23,3901831,224,-50.18681,61.64761,36.0,4.25600004196167,33.768001556396484,19723.959328703702
24,3901831,224,-50.18681,61.64761,37.959999084472656,4.250999927520752,33.76900100708008,19723.959328703702
25,3901831,224,-50.18681,61.64761,39.959999084472656,4.25,33.76900100708008,19723.959328703702
26,3901831,224,-50.18681,61.64761,42.0,4.223999977111816,33.77199935913086,19723.959328703702
27,3901831,224,-50.18681,61.64761,43.959999084472656,4.211999893188477,33.770999908447266,19723.959328703702
28,3901831,224,-50.18681,61.64761,46.0,4.204999923706055,33.77299880981445,19723.959328703702
29,3901831,224,-50.18681,61.64761,48.08000183105469,4.197999954223633,33.77299880981445,19723.959328703702
30,3901831,224,-50.18681,61.64761,50.0,4.198999881744385,33.77199935913086,19723.959328703702
31,3901831,224,-50.18681,61.64761,52.0,4.201000213623047,33.77199935913086,19723.959328703702
32,3901831,224,-50.18681,61.64761,53.959999084472656,4.199999809265137,33.77299880981445,19723.959328703702
33,3901831,224,-50.18681,61.64761,56.0,4.188000202178955,33.77399826049805,19723.959328703702
34,3901831,224,-50.18681,61.64761,58.040000915527344,4.168000221252441,33.777000427246094,19723.959328703702
35,3901831,224,-50.18681,61.64761,60.040000915527344,4.150000095367432,33.77799987792969,19723.959328703702
36,3901831,224,-50.18681,61.64761,62.040000915527344,4.1479997634887695,33.777000427246094,19723.959328703702
37,3901831,224,-50.18681,61.64761,64.0,4.138999938964844,33.77899932861328,19723.959328703702
38,3901831,224,-50.18681,61.64761,66.0,4.13700008392334,33.77899932861328,19723.959328703702
39,3901831,224,-50.18681,61.64761,68.0,4.135000228881836,33.77799987792969,19723.959328703702
40,3901831,224,-50.18681,61.64761,70.04000091552734,4.130000114440918,33.77799987792969,19723.959328703702
41,3901831,224,-50.18681,61.64761,72.0,4.127999782562256,33.77799987792969,19723.959328703702
42,3901831,224,-50.18681,61.64761,73.95999908447266,4.118000030517578,33.777000427246094,19723.959328703702
43,3901831,224,-50.18681,61.64761,76.04000091552734,4.114999771118164,33.777000427246094,19723.959328703702
44,3901831,224,-50.18681,61.64761,78.0,4.105999946594238,33.77799987792969,19723.959328703702
45,3901831,224,-50.18681,61.64761,80.0,4.098999977111816,33.77799987792969,19723.959328703702
46,3901831,224,-50.18681,61.64761,82.0,4.103000164031982,33.777000427246094,19723.959328703702
47,3901831,224,-50.18681,61.64761,84.04000091552734,4.09499979019165,33.77799987792969,19723.959328703702
48,3901831,224,-50.18681,61.64761,86.0,4.041999816894531,33.779998779296875,19723.959328703702
49,3901831,224,-50.18681,61.64761,88.0,3.9590001106262207,33.78799819946289,19723.959328703702
50,3901831,224,-50.18681,61.64761,89.95999908447266,3.874000072479248,33.7869987487793,19723.959328703702
51,3901831,224,-50.18681,61.64761,91.95999908447266,3.8259999752044678,33.78799819946289,19723.959328703702
52,3901831,224,-50.18681,61.64761,94.04000091552734,3.7839999198913574,33.78900146484375,19723.959328703702
53,3901831,224,-50.18681,61.64761,96.0,3.687999963760376,33.79800033569336,19723.959328703702
54,3901831,224,-50.18681,61.64761,98.0,3.5350000858306885,33.80799865722656,19723.959328703702
55,3901831,224,-50.18681,61.64761,99.80000305175781,3.507999897003174,33.805999755859375,19723.959328703702
56,3901831,224,-50.18681,61.64761,101.95999908447266,3.4820001125335693,33.808998107910156,19723.959328703702
57,3901831,224,-50.18681,61.64761,103.87999725341797,3.4670000076293945,33.808998107910156,19723.959328703702
58,3901831,224,-50.18681,61.64761,105.91999816894531,3.427999973297119,33.8120002746582,19723.959328703702
59,3901831,224,-50.18681,61.64761,107.91999816894531,3.388000011444092,33.81399917602539,19723.959328703702
60,3901831,224,-50.18681,61.64761,109.91999816894531,3.3550000190734863,33.816001892089844,19723.959328703702
61,3901831,224,-50.18681,61.64761,112.0,3.3239998817443848,33.81800079345703,19723.959328703702
62,3901831,224,-50.18681,61.64761,114.04000091552734,3.302000045776367,33.819000244140625,19723.959328703702
63,3901831,224,-50.18681,61.64761,115.95999908447266,3.2829999923706055,33.82099914550781,19723.959328703702
64,3901831,224,-50.18681,61.64761,117.91999816894531,3.263000011444092,33.821998596191406,19723.959328703702
65,3901831,224,-50.18681,61.64761,119.95999908447266,3.247999906539917,33.823001861572266,19723.959328703702
66,3901831,224,-50.18681,61.64761,121.95999908447266,3.236999988555908,33.821998596191406,19723.959328703702
67,3901831,224,-50.18681,61.64761,123.91999816894531,3.2269999980926514,33.821998596191406,19723.959328703702
68,3901831,224,-50.18681,61.64761,125.95999908447266,3.180000066757202,33.82500076293945,19723.959328703702
69,3901831,224,-50.18681,61.64761,128.1199951171875,3.071000099182129,33.83100128173828,19723.959328703702
70,3901831,224,-50.18681,61.64761,130.1199951171875,3.0,33.83000183105469,19723.959328703702
71,3901831,224,-50.18681,61.64761,132.0800018310547,2.930000066757202,33.83300018310547,19723.959328703702
72,3901831,224,-50.18681,61.64761,134.0,2.86899995803833,33.834999084472656,19723.959328703702
73,3901831,224,-50.18681,61.64761,135.9600067138672,2.8369998931884766,33.8380012512207,19723.959328703702
74,3901831,224,-50.18681,61.64761,138.0399932861328,2.8269999027252197,33.8380012512207,19723.959328703702
75,3901831,224,-50.18681,61.64761,140.0399932861328,2.815999984741211,33.84000015258789,19723.959328703702
76,3901831,224,-50.18681,61.64761,142.0800018310547,2.7679998874664307,33.84199905395508,19723.959328703702
77,3901831,224,-50.18681,61.64761,144.1199951171875,2.749000072479248,33.84299850463867,19723.959328703702
78,3901831,224,-50.18681,61.64761,146.0399932861328,2.740999937057495,33.84400177001953,19723.959328703702
79,3901831,224,-50.18681,61.64761,147.9600067138672,2.7290000915527344,33.84400177001953,19723.959328703702
80,3901831,224,-50.18681,61.64761,150.0,2.7100000381469727,33.84600067138672,19723.959328703702
81,3901831,224,-50.18681,61.64761,152.0399932861328,2.687000036239624,33.84700012207031,19723.959328703702
82,3901831,224,-50.18681,61.64761,154.0399932861328,2.6710000038146973,33.84700012207031,19723.959328703702
83,3901831,224,-50.18681,61.64761,156.0,2.6549999713897705,33.85300064086914,19723.959328703702
84,3901831,224,-50.18681,61.64761,157.9199981689453,2.6540000438690186,33.854000091552734,19723.959328703702
85,3901831,224,-50.18681,61.64761,159.9600067138672,2.6410000324249268,33.856998443603516,19723.959328703702
86,3901831,224,-50.18681,61.64761,161.9600067138672,2.5869998931884766,33.861000061035156,19723.959328703702
87,3901831,224,-50.18681,61.64761,163.9600067138672,2.558000087738037,33.86199951171875,19723.959328703702
88,3901831,224,-50.18681,61.64761,166.0399932861328,2.5399999618530273,33.862998962402344,19723.959328703702
89,3901831,224,-50.18681,61.64761,168.0399932861328,2.5250000953674316,33.86399841308594,19723.959328703702
90,3901831,224,-50.18681,61.64761,169.9600067138672,2.510999917984009,33.8650016784668,19723.959328703702
91,3901831,224,-50.18681,61.64761,171.9600067138672,2.490000009536743,33.867000579833984,19723.959328703702
92,3901831,224,-50.18681,61.64761,174.0,2.4570000171661377,33.869998931884766,19723.959328703702
93,3901831,224,-50.18681,61.64761,175.9199981689453,2.444000005722046,33.87300109863281,19723.959328703702
94,3901831,224,-50.18681,61.64761,177.9600067138672,2.4519999027252197,33.87799835205078,19723.959328703702
95,3901831,224,-50.18681,61.64761,180.0399932861328,2.4749999046325684,33.88100051879883,19723.959328703702
96,3901831,224,-50.18681,61.64761,182.0800018310547,2.4809999465942383,33.88600158691406,19723.959328703702
97,3901831,224,-50.18681,61.64761,184.0399932861328,2.490999937057495,33.895999908447266,19723.959328703702
98,3901831,224,-50.18681,61.64761,186.0,2.505000114440918,33.90399932861328,19723.959328703702
99,3901831,224,-50.18681,61.64761,187.9199981689453,2.507999897003174,33.90700149536133,19723.959328703702
100,3901831,224,-50.18681,61.64761,189.9600067138672,2.513000011444092,33.90700149536133,19723.959328703702
101,3901831,224,-50.18681,61.64761,192.0,2.5139999389648438,33.90800094604492,19723.959328703702
102,3901831,224,-50.18681,61.64761,194.0399932861328,2.499000072479248,33.9119987487793,19723.959328703702
103,3901831,224,-50.18681,61.64761,196.0399932861328,2.4800000190734863,33.915000915527344,19723.959328703702
104,3901831,224,-50.18681,61.64761,198.0,2.4660000801086426,33.91600036621094,19723.959328703702
105,3901831,224,-50.18681,61.64761,199.9600067138672,2.4619998931884766,33.91699981689453,19723.959328703702
106,3901831,224,-50.18681,61.64761,202.0,2.4019999504089355,33.917999267578125,19723.959328703702
107,3901831,224,-50.18681,61.64761,204.0399932861328,2.388000011444092,33.92100143432617,19723.959328703702
108,3901831,224,-50.18681,61.64761,206.0,2.3469998836517334,33.91699981689453,19723.959328703702
